hashkey;name;formula;synonyms;External_Resources
NIST-MATDB-fc4b8eaa06ed2859e682217a0ff71e55;(Ni/Co 50:50)-MOF-74;;[];[]
NIST-MATDB-7106316d2ca03949939e63bf8e2fd281;(Ni/Co 75:25)-MOF-74;;[];[]
NIST-MATDB-3fab3358b021fe5ade8928119f834a3f;(Ni3O)2Ni(H2O)2(BDC)6(na)4;;[];[]
NIST-MATDB-79d2b8d37d7df541e39474e3d1c10b65;(NiCl2)tppe;;[];[]
NIST-MATDB-1d35510622d223e7630c63811cba7d6e;(OCH3).25-MOF-5;;[];[]
NIST-MATDB-1873bdfeaa67834dcc24e2239fa1aec2;(OCH3).5-MOF-5;;[];[]
NIST-MATDB-9844ba3f035426f38e0ac67b13406a6f;(OCH3).75-MOF-5;;[];[]
NIST-MATDB-3c7cfb46cf22b72cba1ed41cef7e5366;(OH)2-MIL-53;;[];[]
NIST-MATDB-092cdea59444f784b7ee8a4732b317ac;(OH)2-MIL-53(Al);;[];[]
NIST-MATDB-85ac6ba30ef42d85ca7eee270dab189f;(R)-DTM-COF;;[];[]
NIST-MATDB-1aefe95db5d5a2b79b1b6ecd890b1e31;(R)-DTP-COF;;[];[]
NIST-MATDB-69d28da564defdb3807f13a855aeb783;(S)-DTM-COF;;[];[]
NIST-MATDB-4b1be36ed020ef14dd76c209425bcfb4;(S)-DTP-COF;;[];[]
NIST-MATDB-9b05942223b5eee1ec85421d8cb3f525;(S)-DTP-COF after ten catalytic runs;;[];[]
NIST-MATDB-23dedd62409f57e87534f3b2bca3a851;(S)-DTP-COF soaked in HCI (2M) for 48h;;[];[]
NIST-MATDB-5b2d6031d83c5c90c4004527c108eac3;(S)-DTP-COF soaked in NaOH (12M) for 48h;;[];[]
NIST-MATDB-6d5105f2f28675f07a3c7922c8c781f1;(S)-TTP-COF;;[];[]
NIST-MATDB-202c7f16de7123516350a6920e3f6ddf;(Si0.061Al0.483P0.455)O2;;[];[]
NIST-MATDB-eaf2c8ba0fe21cd58abd71e44fe9bc40;(Zn(CN)2);;[];[]
NIST-MATDB-1216f11615b3ad45a0db293b58703f97;(Zn4O)3(BDC-NH2)3(BTB)4;;[];[]
NIST-MATDB-087ae2b7d4f8962ce65155ce392defe9;(Zn4O)3[(BDC-C6H5N2Pd(OAc)2]3(BTB)4;;[];[]
NIST-MATDB-53fae84b4fe6c010b2b9a5eb1101966e;([Co2(ade)(mu6-BTeC)(mu-H2O)(H2O)2]4(H2O);;[];[]
NIST-MATDB-8124d2cbf5f41e13b3bb708d31da7c4d;([Co3(L)(H2L)(DMF)(DABCO)];;[];[]
NIST-MATDB-1f1b0d7ff44b829a67756e7ee4f145eb;([Co@Zn3(L)(H2L)(DMF)(DABCO)];;['([CoZn3(L)(H2L)(DMF)(DABCO)]'];[]
NIST-MATDB-3904e0985bf7eb65c535f06a92f8dec2;([Cu2(pzdc)2pyz];;[];[]
NIST-MATDB-48a84c08b0ed4c799be7890d52460f32;([triangle Co@Zn3(L)(H2L)(DMF)(DABCO)];;[];[]
NIST-MATDB-0b8d1fed39fa6258bfc872190e04865a;([Zn(SiF6)(pyz)2]*2MeOH)n;;[];[]
NIST-MATDB-a6fb6b06ad3f928f2a0a40ae879bc8d5;([Zn3(L)(H2L)(DMF)(DABCO)];;[];[]
NIST-MATDB-3800dc5c103a24060fd14003acbdd4ed;0 wt% salts/ PAN-CNF;;[];[]
NIST-MATDB-6b09d0ff0664abd16ff9ce858bbec312;0% Hydrogenated Carbon Nanotube;;[];[]
NIST-MATDB-e963d762413c5c2a8d8ab99d6f5fb630;0% Li-doped Carbon Nanotube;;[];[]
NIST-MATDB-29e156158564cc8dce4ba3a19728e8eb;0.02FeAlPO-5;;[];[]
NIST-MATDB-65ca65dd5e1f0a6c9f51921bdc1221cc;0.05FeAlPO-5;;[];[]
NIST-MATDB-013c1c0e1bf40a3882d57212b05d82c2;0.08FeAlPO-5;;[];[]
NIST-MATDB-b04baf3baafc76b34c95dcc2abbf5de8;0.1 MgO/USY;;[];[]
NIST-MATDB-75d4d24a87a41bb442bca492139ba734;0.10FeAlPO-5;;[];[]
NIST-MATDB-e45d4de74024ebab786e7ca3b0bcf288;0.17%Pd@IRMOF-1;;[];[]
NIST-MATDB-6cb0f1ed0f803d471a885b100e8909b2;0.1TPABr-0.05Na20-SiO2-40H2O;;[];[]
NIST-MATDB-64b2b2161e7d2af59c4f078c374bc90f;0.1TPAOH-SiO2-40H20;;[];[]
NIST-MATDB-a0acf415d0ffddad4d6b38c67bbbb819;0.3(15C5)SNU-6;;[];[]
NIST-MATDB-53e8345195a4ec2709a87f5ea0065a35;0.3(18C6)SNU-6;;[];[]
NIST-MATDB-08315b03c686d7f2e6a10ca16f45d829;0.36TPAOH-0.39HF-SIO2-34H20;;[];[]
NIST-MATDB-03143e413bb7447fcc205b3b501ae25d;0.4(18C6)SNU-6;;[];[]
NIST-MATDB-43e22fe0efedbe2f6e83e3e05f111e28;0.5(15C5)SNU-6;;[];[]
NIST-MATDB-99c24c67d6c2d7895a930f35191132ec;0.5wt% Ru@SBA-15;;[];[]
